location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
18,Thailand,Male,32,90 to 94,2023,124383.55132062532,yes,no
18,Thailand,Male,235,95 plus,2023,46204.06401624809,yes,yes
18,Thailand,Female,9,20 to 24,2023,1932649.493245864,yes,no
18,Thailand,Female,10,25 to 29,2023,2149593.3216591985,yes,no
18,Thailand,Female,11,30 to 34,2023,2034626.139359792,yes,no
18,Thailand,Female,12,35 to 39,2023,2222857.165016212,yes,no
18,Thailand,Female,13,40 to 44,2023,2552543.9095311444,yes,no
18,Thailand,Female,14,45 to 49,2023,2744638.8882702608,yes,no
18,Thailand,Female,15,50 to 54,2023,2857138.0359713654,yes,no
18,Thailand,Female,16,55 to 59,2023,2819115.645227819,yes,no
18,Thailand,Female,17,60 to 64,2023,2565254.191296829,yes,no
18,Thailand,Female,18,65 to 69,2023,2041277.855828288,yes,no
18,Thailand,Female,19,70 to 74,2023,1481713.776490522,yes,no
18,Thailand,Female,20,75 to 79,2023,1039193.099269632,yes,no
18,Thailand,Female,30,80 to 84,2023,684006.0974574075,yes,no
18,Thailand,Female,31,85 to 89,2023,428935.6063690201,yes,no
18,Thailand,Female,32,90 to 94,2023,199139.87757813616,yes,no
18,Thailand,Female,235,95 plus,2023,71592.01234843617,yes,yes
183,Mauritius,Male,9,20 to 24,2023,47745.23652481086,yes,no
183,Mauritius,Male,10,25 to 29,2023,49744.252465228674,yes,no
183,Mauritius,Male,11,30 to 34,2023,50867.64825879816,yes,no
183,Mauritius,Male,12,35 to 39,2023,49037.57235988114,yes,no
183,Mauritius,Male,13,40 to 44,2023,47929.97119467538,yes,no
183,Mauritius,Male,14,45 to 49,2023,46903.5443425312,yes,no
183,Mauritius,Male,15,50 to 54,2023,42731.6701147533,yes,no
183,Mauritius,Male,16,55 to 59,2023,39975.38038734852,yes,no
183,Mauritius,Male,17,60 to 64,2023,36614.38972026775,yes,no
183,Mauritius,Male,18,65 to 69,2023,32443.77680247117,yes,no
183,Mauritius,Male,19,70 to 74,2023,22284.97758829265,yes,no
183,Mauritius,Male,20,75 to 79,2023,11744.699858397413,yes,no
183,Mauritius,Male,30,80 to 84,2023,5815.247150161245,yes,no
183,Mauritius,Male,31,85 to 89,2023,2846.457593265561,yes,no
183,Mauritius,Male,32,90 to 94,2023,1036.7783345241248,yes,no
183,Mauritius,Male,235,95 plus,2023,298.1164731452253,yes,no
183,Mauritius,Female,9,20 to 24,2023,46325.00492953599,yes,no
183,Mauritius,Female,10,25 to 29,2023,46975.04562348466,yes,no
183,Mauritius,Female,11,30 to 34,2023,46049.0923307318,yes,no
183,Mauritius,Female,12,35 to 39,2023,44837.6856802558,yes,no
183,Mauritius,Female,13,40 to 44,2023,46406.12124903972,yes,no
183,Mauritius,Female,14,45 to 49,2023,46795.58102074421,yes,no
183,Mauritius,Female,15,50 to 54,2023,43051.51432874797,yes,no
183,Mauritius,Female,16,55 to 59,2023,41446.83277298119,yes,no
183,Mauritius,Female,17,60 to 64,2023,39596.51922796109,yes,no
183,Mauritius,Female,18,65 to 69,2023,37108.09348176883,yes,no
183,Mauritius,Female,19,70 to 74,2023,27798.06484337713,yes,no
183,Mauritius,Female,20,75 to 79,2023,16478.82182465978,yes,no
183,Mauritius,Female,30,80 to 84,2023,9326.35162149741,yes,no
183,Mauritius,Female,31,85 to 89,2023,5283.396664591559,yes,no
183,Mauritius,Female,32,90 to 94,2023,2351.0369174295192,yes,no
183,Mauritius,Female,235,95 plus,2023,901.0475174003984,yes,no
186,Seychelles,Male,9,20 to 24,2023,3880.832446217965,no,no
186,Seychelles,Male,10,25 to 29,2023,4375.910524959668,no,no
186,Seychelles,Male,11,30 to 34,2023,4855.864181061535,no,no
186,Seychelles,Male,12,35 to 39,2023,5092.7513037777135,no,no
186,Seychelles,Male,13,40 to 44,2023,4837.24616519962,no,no
186,Seychelles,Male,14,45 to 49,2023,4427.836858098911,no,no
186,Seychelles,Male,15,50 to 54,2023,3984.2510698523215,no,no
186,Seychelles,Male,16,55 to 59,2023,3469.8450928773896,no,no
186,Seychelles,Male,17,60 to 64,2023,2821.661795876528,no,no
186,Seychelles,Male,18,65 to 69,2023,2131.195133575211,no,no
186,Seychelles,Male,19,70 to 74,2023,1324.7148646953722,no,no
186,Seychelles,Male,20,75 to 79,2023,727.9507347124342,no,no
186,Seychelles,Male,30,80 to 84,2023,376.52565249394297,no,no
186,Seychelles,Male,31,85 to 89,2023,164.1953194487101,yes,no
186,Seychelles,Male,32,90 to 94,2023,48.32883263075426,yes,no
186,Seychelles,Male,235,95 plus,2023,9.924651701606498,yes,yes
186,Seychelles,Female,9,20 to 24,2023,3165.8930807453576,no,no
186,Seychelles,Female,10,25 to 29,2023,3147.322683223165,no,no
186,Seychelles,Female,11,30 to 34,2023,3117.5057841730445,no,no
186,Seychelles,Female,12,35 to 39,2023,3151.7200068254133,no,no
186,Seychelles,Female,13,40 to 44,2023,3296.1857440845256,no,no
186,Seychelles,Female,14,45 to 49,2023,3302.0676506452387,no,no
186,Seychelles,Female,15,50 to 54,2023,3252.469795484954,no,no
186,Seychelles,Female,16,55 to 59,2023,3113.969645098743,no,no
186,Seychelles,Female,17,60 to 64,2023,2514.7010869847627,no,no
186,Seychelles,Female,18,65 to 69,2023,1947.4417482096792,no,no
186,Seychelles,Female,19,70 to 74,2023,1337.2378708101442,no,no
186,Seychelles,Female,20,75 to 79,2023,895.8843008290479,no,no
186,Seychelles,Female,30,80 to 84,2023,695.3148061250179,no,no
186,Seychelles,Female,31,85 to 89,2023,430.9879205550568,yes,no
186,Seychelles,Female,32,90 to 94,2023,186.1062503718462,yes,no
186,Seychelles,Female,235,95 plus,2023,66.43977376866238,yes,yes
298,American Samoa,Male,9,20 to 24,2023,1792.8042699948046,no,yes
298,American Samoa,Male,10,25 to 29,2023,1443.3349131608466,no,yes
