year,age_key,population,internal_proxy_population_2023,relative_difference_vs_internal_2023_pct
2031,45-49,160209447,149727843.74405357,NA
2031,50-54,141679404,164412029.64128557,NA
2031,55-59,151819657,158690707.40123406,NA
2031,60-64,154764802,115454879.15522063,NA
2031,65-69,131227365,102279276.13948205,NA
2031,70-74,84860489,78450201.79620078,NA
2031,75-79,73463431,47292203.690509714,NA
2031,80-84,41115239,28544607.78563273,NA
2031,85-89,17569663,15615216.903292721,NA
2031,90-94,6356433,5900606.059086778,NA
2031,95+,1474051,1778940.7581121721,NA
2032,20-24,149652820,131749697.5566825,NA
2032,25-29,138744038,139696327.26449484,NA
2032,30-34,138863124,168364801.39735228,NA
2032,35-39,148404251,175975858.43011886,NA
2032,40-44,175273878,146041571.45187494,NA
2032,45-49,163611944,149727843.74405357,NA
2032,50-54,145110681,164412029.64128557,NA
2032,55-59,146479724,158690707.40123406,NA
2032,60-64,157045879,115454879.15522063,NA
2032,65-69,137368968,102279276.13948205,NA
2032,70-74,84961505,78450201.79620078,NA
2032,75-79,75665693,47292203.690509714,NA
2032,80-84,44602607,28544607.78563273,NA
2032,85-89,18660762,15615216.903292721,NA
2032,90-94,6622487,5900606.059086778,NA
2032,95+,1554912,1778940.7581121721,NA
2033,20-24,151643962,131749697.5566825,NA
2033,25-29,140469203,139696327.26449484,NA
2033,30-34,137850299,168364801.39735228,NA
2033,35-39,145585126,175975858.43011886,NA
2033,40-44,169974911,146041571.45187494,NA
2033,45-49,167511379,149727843.74405357,NA
2033,50-54,148869792,164412029.64128557,NA
2033,55-59,141292717,158690707.40123406,NA
2033,60-64,157464110,115454879.15522063,NA
2033,65-69,138737164,102279276.13948205,NA
2033,70-74,91081885,78450201.79620078,NA
2033,75-79,77146321,47292203.690509714,NA
2033,80-84,48117568,28544607.78563273,NA
2033,85-89,20028283,15615216.903292721,NA
2033,90-94,6872858,5900606.059086778,NA
2033,95+,1632721,1778940.7581121721,NA
2034,20-24,152637684,131749697.5566825,NA
2034,25-29,142566102,139696327.26449484,NA
2034,30-34,137435113,168364801.39735228,NA
2034,35-39,142969453,175975858.43011886,NA
2034,40-44,163955925,146041571.45187494,NA
2034,45-49,171973286,149727843.74405357,NA
2034,50-54,151410776,164412029.64128557,NA
2034,55-59,137870280,158690707.40123406,NA
2034,60-64,155204438,115454879.15522063,NA
2034,65-69,140358785,102279276.13948205,NA
2034,70-74,100339648,78450201.79620078,NA
2034,75-79,76534894,47292203.690509714,NA
2034,80-84,51227024,28544607.78563273,NA
2034,85-89,21643313,15615216.903292721,NA
2034,90-94,7165958,5900606.059086778,NA
2034,95+,1704698,1778940.7581121721,NA
2035,20-24,153009487,131749697.5566825,NA
2035,25-29,144529737,139696327.26449484,NA
2035,30-34,137075456,168364801.39735228,NA
2035,35-39,141073484,175975858.43011886,NA
2035,40-44,156526413,146041571.45187494,NA
2035,45-49,176241457,149727843.74405357,NA
2035,50-54,154187702,164412029.64128557,NA
2035,55-59,136952933,158690707.40123406,NA
2035,60-64,151090343,115454879.15522063,NA
2035,65-69,143066361,102279276.13948205,NA
2035,70-74,109706260,78450201.79620078,NA
2035,75-79,74311552,47292203.690509714,NA
2035,80-84,54043166,28544607.78563273,NA
2035,85-89,23683591,15615216.903292721,NA
2035,90-94,7531972,5900606.059086778,NA
2035,95+,1786441,1778940.7581121721,NA
2036,20-24,152983775,131749697.5566825,NA
2036,25-29,146262810,139696327.26449484,NA
2036,30-34,137091096,168364801.39735228,NA
2036,35-39,139608887,175975858.43011886,NA
2036,40-44,150610878,146041571.45187494,NA
2036,45-49,177196619,149727843.74405357,NA
2036,50-54,157477207,164412029.64128557,NA
2036,55-59,138016849,158690707.40123406,NA
2036,60-64,146026030,115454879.15522063,NA
2036,65-69,145580191,102279276.13948205,NA
2036,70-74,119155326,78450201.79620078,NA
2036,75-79,71942252,47292203.690509714,NA
2036,80-84,56170874,28544607.78563273,NA
2036,85-89,25885013,15615216.903292721,NA
2036,90-94,7994949,5900606.059086778,NA
2036,95+,1887433,1778940.7581121721,NA
2037,20-24,152079577,131749697.5566825,NA
2037,25-29,148572402,139696327.26449484,NA
2037,30-34,138137355,168364801.39735228,NA
2037,35-39,138155001,175975858.43011886,NA
2037,40-44,147301711,146041571.45187494,NA
2037,45-49,173401391,149727843.74405357,NA
2037,50-54,160886251,164412029.64128557,NA
2037,55-59,141429761,158690707.40123406,NA
2037,60-64,140921628,115454879.15522063,NA
2037,65-69,147851523,102279276.13948205,NA
2037,70-74,124832586,78450201.79620078,NA
2037,75-79,72246653,47292203.690509714,NA
2037,80-84,58016633,28544607.78563273,NA
2037,85-89,28279005,15615216.903292721,NA
2037,90-94,8583920,5900606.059086778,NA
2037,95+,1988327,1778940.7581121721,NA
2038,20-24,149232103,131749697.5566825,NA
2038,25-29,150570306,139696327.26449484,NA
2038,30-34,139868175,168364801.39735228,NA
2038,35-39,137159638,175975858.43011886,NA
2038,40-44,144514704,146041571.45187494,NA
2038,45-49,168164428,149727843.74405357,NA
2038,50-54,164784736,164412029.64128557,NA
2038,55-59,145160481,158690707.40123406,NA
2038,60-64,135963985,115454879.15522063,NA
2038,65-69,148356983,102279276.13948205,NA
2038,70-74,126248954,78450201.79620078,NA
2038,75-79,77952355,47292203.690509714,NA
2038,80-84,59304648,28544607.78563273,NA
2038,85-89,30682777,15615216.903292721,NA
2038,90-94,9307424,5900606.059086778,NA
2038,95+,2083558,1778940.7581121721,NA
2039,20-24,144892249,131749697.5566825,NA
2039,25-29,151583167,139696327.26449484,NA
2039,30-34,141977731,168364801.39735228,NA
2039,35-39,136763987,175975858.43011886,NA
2039,40-44,141933291,146041571.45187494,NA
2039,45-49,162216662,149727843.74405357,NA
2039,50-54,169234618,164412029.64128557,NA
2039,55-59,147697466,158690707.40123406,NA
2039,60-64,132720972,115454879.15522063,NA
2039,65-69,146327152,102279276.13948205,NA
2039,70-74,127954094,78450201.79620078,NA
2039,75-79,86321745,47292203.690509714,NA
2039,80-84,58859373,28544607.78563273,NA
2039,85-89,32797312,15615216.903292721,NA
2039,90-94,10157018,5900606.059086778,NA
2039,95+,2191801,1778940.7581121721,NA
2040,20-24,139032458,131749697.5566825,NA
2040,25-29,151964037,139696327.26449484,NA
2040,30-34,143944586,168364801.39735228,NA
2040,35-39,136416512,175975858.43011886,NA
2040,40-44,140064120,146041571.45187494,NA
2040,45-49,154869054,149727843.74405357,NA
2040,50-54,173491421,164412029.64128557,NA
2040,55-59,150471522,158690707.40123406,NA
2040,60-64,131905816,115454879.15522063,NA
2040,65-69,142522294,102279276.13948205,NA
2040,70-74,130637797,78450201.79620078,NA
2040,75-79,94655020,47292203.690509714,NA
2040,80-84,57148741,28544607.78563273,NA
2040,85-89,34752429,15615216.903292721,NA
2040,90-94,11234070,5900606.059086778,NA
2040,95+,2327105,1778940.7581121721,NA
2041,20-24,131133009,131749697.5566825,NA
2041,25-29,151948371,139696327.26449484,NA
2041,30-34,145680296,168364801.39735228,NA
2041,35-39,136441823,175975858.43011886,NA
2041,40-44,138623680,146041571.45187494,NA
2041,45-49,149023067,149727843.74405357,NA
2041,50-54,174465684,164412029.64128557,NA
2041,55-59,153756688,158690707.40123406,NA
2041,60-64,133012647,115454879.15522063,NA
2041,65-69,137805850,102279276.13948205,NA
2041,70-74,133125753,78450201.79620078,NA
2041,75-79,102967854,47292203.690509714,NA
2041,80-84,55347313,28544607.78563273,NA
2041,85-89,36243640,15615216.903292721,NA
2041,90-94,12394306,5900606.059086778,NA
2041,95+,2499603,1778940.7581121721,NA
2042,20-24,121740548,131749697.5566825,NA
2042,25-29,151059624,139696327.26449484,NA
2042,30-34,147992841,168364801.39735228,NA
2042,35-39,137495177,175975858.43011886,NA
2042,40-44,137194146,146041571.45187494,NA
2042,45-49,145761322,149727843.74405357,NA
2042,50-54,170738683,164412029.64128557,NA
2042,55-59,157169343,158690707.40123406,NA
2042,60-64,136403079,115454879.15522063,NA
2042,65-69,133041884,102279276.13948205,NA
2042,70-74,135351084,78450201.79620078,NA
2042,75-79,107972136,47292203.690509714,NA
2042,80-84,55884611,28544607.78563273,NA
2042,85-89,37586535,15615216.903292721,NA
2042,90-94,13657514,5900606.059086778,NA
2042,95+,2711320,1778940.7581121721,NA
2043,20-24,113202350,131749697.5566825,NA
2043,25-29,148234205,139696327.26449484,NA
2043,30-34,149995969,168364801.39735228,NA
2043,35-39,139231073,175975858.43011886,NA
2043,40-44,136220012,146041571.45187494,NA
2043,45-49,143016881,149727843.74405357,NA
2043,50-54,165587832,164412029.64128557,NA
2043,55-59,161063018,158690707.40123406,NA
2043,60-64,140091747,115454879.15522063,NA
2043,65-69,128413099,102279276.13948205,NA
2043,70-74,135943104,78450201.79620078,NA
2043,75-79,109402496,47292203.690509714,NA
2043,80-84,60972667,28544607.78563273,NA
2043,85-89,38565243,15615216.903292721,NA
2043,90-94,14914971,5900606.059086778,NA
2043,95+,2963494,1778940.7581121721,NA
2044,20-24,106281884,131749697.5566825,NA
2044,25-29,143915129,139696327.26449484,NA
2044,30-34,151012223,168364801.39735228,NA
2044,35-39,141340471,175975858.43011886,NA
2044,40-44,135838750,146041571.45187494,NA
2044,45-49,140474591,149727843.74405357,NA
2044,50-54,159735769,164412029.64128557,NA
